# legalhist.whitelist candidates for OCR-corrupted reporter abbreviations (issue #247)
# source: moml_citations.citations_unlinked, spellings not in the whitelist with at least 20 rows, 2026-09-05
# 64189 such spellings, 6620354 rows
# rules: digit (a letter-flanked digit removed), confusion (one OCR letter confusion from
# ocrConfusions in go/citations/ocrvariant.go), digit_letter (a letter-flanked digit read as
# some letter; reported for review only, never seeded). Every corrected spelling is an exact
# entry of the whitelist as it stood when this ran; nothing is normalized. REVIEW BEFORE APPLYING.
# confidence is "canonical" when the corrected spelling is itself a reporter in legalhist.reporters,
# and "via-variant" when it is another whitelist variant that maps onward, in which case the
# proposal inherits that entry's looseness. A spelling whose readings reach more than one reporter
# is AMBIGUOUS when the runner-up's spellings are at least 10%% as frequent in the corpus as the
# winner's; TOJUNK when every reading lands on a junk entry; UNRESOLVED when none is whitelisted.
#
# count	reporter_found	corrected	reporter_standard	rule	confidence	example
863	"Ml. & W."	"MI. & W."	"M & W"	confusion	via-variant	"0 Ml. & W. 131"
861	"Ven."	"Wen."	"Wend."	confusion	via-variant	"0 Ven. 73"
855	"IIagg."	"Ilagg."	"Hag Adm"	confusion	via-variant	"1 IIagg. 0"
853	"Gal."	"Cal."	"Cal."	confusion	canonical	"00 Gal. 05"
853	"Minnu."	"Minnn."	"Minn."	confusion	via-variant	"05 Minnu. 28"
849	"ClI."	"Cll."	"Chan Cas"	confusion	via-variant	"031 ClI. 1"
846	"Vcsey"	"Vesey"	"Ves Jun"	confusion	via-variant	"0 Vcsey, 349"
840	"Sannd."	"Saund."	"Wms Saund"	confusion	via-variant	"19 Sannd. 291"
826	"PIac."	"Plac."	"P."	confusion	via-variant	"00 PIac. 249"
823	"Gowen"	"Cowen"	"Cow."	confusion	canonical	"1 Gowen 7"
819	"Miin."	"Mnn."	"Minn."	confusion	via-variant	"00 Miin. 01"
818	"Sirn."	"Sim."	"Sim"	confusion	via-variant	"0 Sirn. 152"
817	"CI. & Fin."	"Cl. & Fin."	"Cl & Fin"	confusion	via-variant	"0 CI. & Fin. 232"
790	"llagg."	"Ilagg."	"Hag Adm"	confusion	via-variant	"1 llagg. 012"
784	"Blng."	"BIng."	"Bing"	confusion	via-variant	"0 Blng. 121"
783	"Vcntr."	"Ventr."	"Vent"	confusion	via-variant	"1 Vcntr. 02"
780	"Bart."	"Barl."	"Barb."	confusion	via-variant	"02 Bart., 108"
765	"Biug."	"Bing."	"Bing"	confusion	via-variant	"0 Biug. 141"
754	"Jnr. N. S."	"Jur. N. S."	"Jur. (n.s.)"	confusion	via-variant	"002\n\t\t\tJnr. N. S. 49"
753	"Atk. Rep."	"Alk. Rep."	"Atk"	confusion	via-variant	"1 Atk. Rep., 1"
738	"Vcs. Jr."	"Ves. Jr."	"Ves Jun"	confusion	via-variant	"0 Vcs. Jr. 119"
735	"lac."	"Iac."	"P."	confusion	via-variant	"014 lac. 126"
690	"Scrg. & Rawle"	"Serg. & Rawle"	"Serg. & Rawl."	confusion	via-variant	"0 Scrg. & Rawle 130"
687	"V. S."	"W. S."	"Watts & Serg."	confusion	via-variant	"011 V. S. 523"
686	"AlI."	"All."	"Allen"	confusion	via-variant	"00 AlI. 350"
677	"lan."	"Ian."	"Kan."	confusion	via-variant	"007 lan. 23"
669	"Caincs"	"Caines"	"Cai."	confusion	via-variant	"1 Caincs 1"
665	"ChI."	"Chl."	"Chan Cas"	confusion	via-variant	"071 ChI. 17"
662	"Mcriv."	"Meriv."	"Mer"	confusion	via-variant	"1 Mcriv. 026"
656	"Am. St. Ilep."	"Am. St. Itep."	"Am. St. Rep."	confusion	via-variant	"00 Am. St. Ilep. 035"
655	"Cli. App."	"Ch. App."	"L.R. Ch. App."	confusion	via-variant	"0 Cli. App. 014"
651	"Ducr"	"Duer"	"Duer"	confusion	canonical	"0 Ducr, 202"
649	"Mecs. & W."	"Mees. & W."	"M & W"	confusion	via-variant	"08 Mecs. & W. 571"
641	"BI. R."	"Bl. R."	"Black W"	confusion	via-variant	"10 BI. R. 48"
636	"V. It."	"W. It."	"W.R."	confusion	via-variant	"0 V. It. 251"
636	"Vem."	"Vern."	"Vern"	confusion	via-variant	"10 Vem. 290"
626	"Bca."	"Bea."	"Beav"	confusion	via-variant	"0 Bca. 2069"
624	"I1L"	"IlL"	"Ill."	digit_sub	via-variant	"055 I1L 413"
618	"CIh."	"Clh."	"Chan Cas"	confusion	via-variant	"009 CIh. 33"
616	"Am. lep."	"Am. Iep."	"Am. Rep."	confusion	via-variant	"01 Am. lep. 476"
616	"lla."	"Ila."	"Hare"	confusion	via-variant	"0 lla. 129"
610	"Ileav."	"lleav."	"Beav"	confusion	via-variant	"0 Ileav. 007"
603	"Tannt."	"Taunt."	"Taunt"	confusion	via-variant	"0 Tannt. 147"
601	"Vcz."	"Vez."	"Ves Jun"	confusion	via-variant	"10 Vcz. 230"
600	"l.a."	"I.a."	"La."	confusion	via-variant	"011 l.a. 645"
595	"Vcs. Jun."	"Ves. Jun."	"Ves Jun"	confusion	via-variant	"0 Vcs. Jun. 547"
591	"lI."	"II."	"Ill."	confusion	via-variant	"03 lI. 66"
581	"lil."	"Iil."	"Ill."	confusion	via-variant	"00 lil. 1"
580	"Reds. Wills"	"Redf. Wills"	"Redf."	confusion	via-variant	"13 Reds. Wills, 2"
577	"I1I."	"II."	"Ill."	digit	via-variant	"011 I1I. 20"
567	"Am. St. lep."	"Am. St. Iep."	"Am. St. Rep."	confusion	via-variant	"01 Am. St. lep. 40"
561	"Bolt."	"Bott."	"Bott"	confusion	via-variant	"12 Bolt. 112"
548	"Mot."	"Mol."	"Mol."	confusion	canonical	"0 Mot. 01"
543	"Wits."	"Wils."	"Wils KB"	confusion	via-variant	"10 Wits. 25"
536	"McLcan"	"McLean"	"McLean"	confusion	canonical	"0 McLcan, 1"
534	"Alii."	"Aln."	"Ala."	confusion	via-variant	"018 Alii. 161"
534	"Vcs. & B."	"Ves. & B."	"Ves & Bea"	confusion	via-variant	"1 Vcs. & B. 07"
529	"Vcs. sen."	"Ves. sen."	"Ves Sen"	confusion	via-variant	"1 Vcs. sen. 1"
512	"Rawlc"	"Rawle"	"Rawle"	confusion	canonical	"10 Rawlc, 179"
509	"Int. Com. Rep."	"Int. Corn. Rep."	"I.C.C. Rep."	confusion	via-variant	"1 Int. Com. Rep. 095"
505	"MIc."	"MIe."	"Me."	confusion	via-variant	"00 MIc. 347"
485	"Reds. on Wills"	"Redf. on Wills"	"Redf."	confusion	via-variant	"102 Reds. on Wills, 170"
482	"llun."	"Ilun."	"Hun"	confusion	via-variant	"02 llun. 173"
480	"Mce. & W."	"Mee. & W."	"M & W"	confusion	via-variant	"0 Mce. & W. 310"
478	"Cat."	"Cal."	"Cal."	confusion	canonical	"00 Cat.\n\t\t\t020"
474	"Vef."	"Ves."	"Ves Jun"	confusion	via-variant	"10 Vef. 287"
472	". V."	". W."	"N.W."	confusion	via-variant	"03 . V. 101"
467	"Arn."	"Am."	"A.B.R."	confusion	via-variant	"14 Arn. 555"
465	"Litl."	"Litt."	"Litt."	confusion	canonical	"11 Litl. 4"
465	"Vcs. Sen."	"Ves. Sen."	"Ves Sen"	confusion	via-variant	"1 Vcs. Sen. 02"
460	"W. Il."	"W. It."	"W.R."	confusion	via-variant	"0 W. Il. 142"
457	"Jae."	"Jac."	"Jac"	confusion	via-variant	"052 Jae. 5"
457	"lo. App."	"Io. App."	"Mo. App."	confusion	via-variant	"01 lo. App. 483"
456	"MeCrary"	"McCrary"	"McCrary"	confusion	canonical	"11 MeCrary, 177"
455	"Barn. & Crcs."	"Barn. & Cres."	"B & C"	confusion	via-variant	"0 Barn. & Crcs. 107"
454	"to."	"lo."	"Mo."	confusion	via-variant	"000 to. 50"
450	"lll"	"Ill"	"Ill."	confusion	via-variant	"011 lll, 1"
448	"II. BI."	"II. Bl."	"H Bl"	confusion	via-variant	"1 II. BI. 0"
443	"Ieav."	"leav."	"Beav"	confusion	via-variant	"0 Ieav. 119"
442	"AId."	"Ald."	"Ald."	confusion	canonical	"00 AId. 399"
438	"Cli. I)."	"Ch. I)."	"L.R.Ch."	confusion	via-variant	"0 Cli. I).\n\t\t\t144"
434	"Wilt."	"Will."	"Wil."	confusion	via-variant	"10 Wilt. 3"
430	"Parkcr"	"Parker"	"Park"	confusion	via-variant	"1 Parkcr, 224"
424	"Crancli"	"Cranch"	"Cranch"	confusion	canonical	"0 Crancli, 130"
422	"Snecd"	"Sneed"	"Sneed"	confusion	canonical	"1 Snecd, 010"
421	"Lilt."	"Litt."	"Litt."	confusion	canonical	"0\n\t\t\tLilt. 3"
420	"L. G."	"L. C."	"L. C."	confusion	canonical	"0 L. G. 1"
419	"llarr."	"Ilarr."	"Harr."	confusion	via-variant	"10 llarr. 41"
417	"Vescy"	"Vesey"	"Ves Jun"	confusion	via-variant	"06 Vescy, 27"
416	"Dcm."	"Dem."	"Dem. Sur."	confusion	via-variant	"0 Dcm. 18"
415	"Gold."	"Cold."	"Cold."	confusion	canonical	"4 Gold. 47"
415	"Serg. & Rawlc"	"Serg. & Rawle"	"Serg. & Rawl."	confusion	via-variant	"0 Serg. & Rawlc, 12"
414	"Craneh"	"Cranch"	"Cranch"	confusion	canonical	"0 Craneh, 221"
413	"Illt."	"Illl."	"Ill."	confusion	via-variant	"10 Illt. 19"
411	"WI."	"VI."	"Vt."	confusion	via-variant	"00 WI. 317"
401	"N. Il."	"N. It."	"N.H."	confusion	via-variant	"01 N. Il. 504"
399	"Fol. Dic."	"Fol. Die."	"Fol. Dic."	confusion	via-variant	"1 Fol. Dic. 107"
399	"Snpp."	"Supp."	"N.Y.S."	confusion	via-variant	"02 Snpp. 323"
394	"Vce."	"Vee."	"Ves Jun"	confusion	via-variant	"0 Vce. 104"
392	"Seh. & Les."	"Sch. & Les."	"Sch. & Lef."	confusion	via-variant	"1 Seh. & Les. 1"
391	"MIadd."	"Mladd."	"Madd"	confusion	via-variant	"0 MIadd. 00"
390	"Vall."	"Wall."	"Wall."	confusion	canonical	"0 Vall. 10"
384	"Snlk."	"Sulk."	"Salk"	confusion	via-variant	"11 Snlk. 645"
383	"M. & Scl."	"M. & Sel."	"M & S"	confusion	via-variant	"1 M. & Scl. 038"
376	"Iing."	"ling."	"Bing"	confusion	via-variant	"0 Iing. 1"
376	"Vef. jun."	"Ves. jun."	"Ves Jun"	confusion	via-variant	"12 Vef. jun. 59"
375	"Ihun"	"lhun"	"Hun"	confusion	via-variant	"01 Ihun 30"
372	"Lcach"	"Leach"	"Leach"	confusion	canonical	"1 Lcach, 0"
372	"Wcndell"	"Wendell"	"Wend."	confusion	via-variant	"0 Wcndell, 000"
371	"Iad."	"lad."	"Ind."	confusion	via-variant	"05 Iad. 125"
370	"Scld."	"Seld."	"Seld."	confusion	canonical	"0 Scld. 13"
366	"App. Gas."	"App. Cas."	"L.R.A.C."	confusion	via-variant	"0 App. Gas. 82"
355	"Ycrger"	"Yerger"	"Yer."	confusion	via-variant	"0 Ycrger, 108"
353	"Yeatcs"	"Yeates"	"Yeates"	confusion	canonical	"1 Yeatcs, 1"
349	"Rot."	"Rol."	"Rolle"	confusion	via-variant	"10 Rot. 502"
349	"Vcs. J."	"Ves. J."	"Ves Jun"	confusion	via-variant	"0 Vcs. J. 130"
348	"CIl."	"Cll."	"Chan Cas"	confusion	via-variant	"00 CIl. 108"
348	"Lanc."	"Lane."	"Lans."	confusion	via-variant	"10 Lanc. 113"
342	"IMod."	"lMod."	"Mod"	confusion	via-variant	"07 IMod. 46"
341	"Swaust."	"Swanst."	"Swans"	confusion	via-variant	"1 Swaust. 009"
341	"Veru."	"Vern."	"Vern"	confusion	via-variant	"15 Veru. 570"
338	"lt."	"ll."	"Ill."	confusion	via-variant	"02 lt. 433"
337	". G."	". C."	"N.C."	confusion	via-variant	"04 . G. 487"
335	"MIaine"	"Mlaine"	"Me."	confusion	via-variant	"0 MIaine, 270"
332	"Snced"	"Sneed"	"Sneed"	confusion	canonical	"0 Snced, 482"
331	"EI."	"El."	"El & Bl"	confusion	via-variant	"0 EI. 1"
327	"Crauch"	"Cranch"	"Cranch"	confusion	canonical	"0 Crauch 102"
326	"Ml. & S."	"MI. & S."	"M & S"	confusion	via-variant	"0 Ml. & S. 105"
323	"Hlumph."	"HIumph."	"Hum."	confusion	via-variant	"0 Hlumph. 215"
323	"Tauut."	"Taunt."	"Taunt"	confusion	via-variant	"0 Tauut. 3"
318	"Hnn"	"Hun"	"Hun"	confusion	canonical	"04 Hnn 208"
315	"Moorc"	"Moore"	"Moo KB"	confusion	via-variant	"0 Moorc, 502"
315	"Vec."	"Vee."	"Ves Jun"	confusion	via-variant	"0 Vec. 182"
314	"Ncv. & M."	"Nev. & M."	"Nev. & M."	confusion	canonical	"0 Ncv. & M. 241"
312	"AIe."	"Ale."	"Ala."	confusion	via-variant	"09 AIe. 168"
312	"Alleu"	"Allen"	"Allen"	confusion	canonical	"10 Alleu, 106"
309	"W. lt."	"W. It."	"W.R."	confusion	via-variant	"10 W. lt. 109"
307	"Mec. & W."	"Mee. & W."	"M & W"	confusion	via-variant	"0 Mec. & W. 145"
306	"Weud."	"Wend."	"Wend."	confusion	canonical	"0 Weud., 1"
305	"G. C."	"C. C."	"Cole. Cas."	confusion	via-variant	"000 G. C. 81"
304	"Vc."	"Ve."	"Ves Sen"	confusion	via-variant	"0 Vc. 050"
302	"Matss."	"Malss."	"Mass."	confusion	via-variant	"00 Matss. 19"
301	"lId."	"lld."	"Md."	confusion	via-variant	"01 lId. 107"
300	"Am. llep."	"Am. Ilep."	"Am. Rep."	confusion	via-variant	"0 Am. llep. 152"
300	"Wit."	"Wil."	"Wil."	confusion	canonical	"05 Wit. 460"
300	"tl."	"ll."	"Ill."	confusion	via-variant	"005 tl. 1"
299	"Mau."	"Man."	"Mass."	confusion	via-variant	"09 Mau. 54"
298	"AI."	"Al."	"Al"	confusion	via-variant	"02 AI. 4"
298	"Cray"	"Gray"	"Gray"	confusion	canonical	"0 Cray, 319"
297	"lown."	"Iown."	"Iowa"	confusion	via-variant	"00 lown. 5"
295	"Mainc"	"Maine"	"Me."	confusion	via-variant	"100 Mainc, 322"
295	"Sauud."	"Saund."	"Wms Saund"	confusion	via-variant	"1 Sauud. 10"
292	"PIa."	"Pla."	"Pa."	confusion	via-variant	"00 PIa. 78"
292	"Wcntw."	"Wentw."	"Wentw."	confusion	canonical	"041 Wcntw. 1"
291	"Cli. Ca."	"Ch. Ca."	"Chan Cas"	confusion	via-variant	"1 Cli. Ca. 0"
291	"L. J. (Cli.)"	"L. J. (Ch.)"	"L.J.Ch."	confusion	via-variant	"01 L. J. (Cli.) 1209"
289	"Cartli."	"Carth."	"Carth"	confusion	via-variant	"2 Cartli. 390"
287	"Wilf."	"Wils."	"Wils KB"	confusion	via-variant	"135 Wilf. 165"
286	"Am. Elee. Cas."	"Am. Elec. Cas."	"Am. Elec. Cas."	confusion	canonical	"0 Am. Elee. Cas. 079"
286	"Starkic"	"Starkie"	"Stark. N. P."	confusion	via-variant	"1 Starkic 1"
284	"Penu. St."	"Penn. St."	"Pa."	confusion	via-variant	"00 Penu. St. 110"
283	"Dner"	"Duer"	"Duer"	confusion	canonical	"0 Dner, 574"
283	"Easl"	"East"	"East"	confusion	canonical	"0 Easl, 427"
281	"Macpli."	"Macph."	"Macph."	confusion	canonical	"0 Macpli. 833"
276	"Alu."	"Aln."	"Ala."	confusion	via-variant	"00 Alu.\n\t\t\t10"
276	"Plc."	"PIc."	"Pick."	confusion	via-variant	"00 Plc. 26"
275	"T. l."	"T. I."	"TR"	confusion	via-variant	"0 T. l. 02"
273	"Ians."	"lans."	"Lans."	confusion	via-variant	"0 Ians. 402"
273	"Lcigh"	"Leigh"	"Leigh"	confusion	canonical	"0 Lcigh 271"
273	"Mel."	"Met."	"Met."	confusion	canonical	"01 Mel. 5107"
271	"Biug. N. C."	"Bing. N. C."	"Bing NC"	confusion	via-variant	"0 Biug. N. C. 218"
271	"Cli. )."	"Ch. )."	"L.R.Ch."	confusion	via-variant	"011 Cli. ). 1"
271	"Hcisk."	"Heisk."	"Heisk."	confusion	canonical	"0 Hcisk. 1"
271	"TIl."	"Tll."	"Ill."	confusion	via-variant	"101 TIl. 241"
270	"lii"	"Iii"	"Ill."	confusion	via-variant	"01 lii 10"
267	"Cn."	"Gn."	"Ga."	confusion	via-variant	"00\n\t\t\tCn. 810"
267	"Itl."	"Ill."	"Ill."	confusion	canonical	"02 Itl. 871"
265	"ih."	"ili."	"Ill."	confusion	via-variant	"05 ih. 252"
263	"Dongl."	"Dougl."	"Doug"	confusion	via-variant	"128 Dongl. 752"
263	"N. V."	"N. W."	"N.W."	confusion	via-variant	"00 N.\n\t\t\tV. 166"
263	"Wli."	"Wh."	"Whart."	confusion	via-variant	"01 Wli. 02"
261	"AIo."	"Alo."	"Ala."	confusion	via-variant	"04 AIo. 38"
261	"Son."	"Sou."	"So."	confusion	via-variant	"10 Son. 21"
259	"Ih."	"Ili."	"Ill."	confusion	via-variant	"001 Ih. 59"
259	"l. S."	"I. S."	"U.S."	confusion	via-variant	"014 l. S. 159"
258	"llayw."	"Ilayw."	"Hayw."	confusion	via-variant	"1 llayw. 10"
255	"V. B."	"W. B."	"W.R."	confusion	via-variant	"103 V. B. 87"
250	"Alid."	"Alicl."	"Mich."	confusion	via-variant	"0 Alid. 57"
250	"MdI."	"Mdl."	"Md."	confusion	via-variant	"0 MdI. 14"
249	"MeL."	"McL."	"McLean"	confusion	via-variant	"0 MeL. 13"
248	"I1l. App."	"Ill. App."	"Ill. App."	digit_sub	canonical	"03 I1l. App. 76"
246	"Mt."	"Ml."	"Md."	confusion	via-variant	"04 Mt. 14"
244	"l. & W."	"I. & W."	"M & W"	confusion	via-variant	"06 l. & W. 30"
243	"Chitt. Pl."	"Chitt. PI."	"Chit."	confusion	via-variant	"0 Chitt. Pl., 170"
242	"Man. & Sel."	"Mau. & Sel."	"M & S"	confusion	via-variant	"0 Man. & Sel. 0"
241	"Am. Dce."	"Am. Dee."	"Am. Dec."	confusion	via-variant	"00 Am. Dce. 742"
241	"Aust."	"Anst."	"Anstr."	confusion	via-variant	"13 Aust. 820"
241	"Iiss."	"liss."	"Miss."	confusion	via-variant	"01 Iiss. 392"
241	"Jnr., N. S."	"Jur., N. S."	"Jur. (n.s.)"	confusion	via-variant	"10 Jnr., N. S. 106"
241	"Slark."	"Stark."	"Stark. N. P."	confusion	via-variant	"1 Slark. 07"
240	"Dca."	"Dea."	"Dea. & C."	confusion	via-variant	"1 Dca. 1"
239	"B3eav."	"Beav."	"Beav"	digit	via-variant	"10 B3eav. 1"
239	"Exel."	"Excl."	"Exch"	confusion	via-variant	"0 Exel. 065"
239	"F1ed."	"Fed."	"F."	digit	via-variant	"01 F1ed. 12"
239	"l.."	"I.."	"L.R.Ir."	confusion	via-variant	"027 l.. 745"
237	"L.J. Cli."	"L.J. Ch."	"L.J.Ch."	confusion	via-variant	"00 L.J. Cli. 02"
236	"Se. L. R."	"Sc. L. R."	"Scot. L. R."	confusion	via-variant	"0 Se. L. R. 764"
236	"lumph."	"Iumph."	"Hum."	confusion	via-variant	"0 lumph. 435"
235	"MeCord"	"McCord"	"McCord"	confusion	canonical	"1 MeCord, 115"
234	"V.."	"W.."	"W.R."	confusion	via-variant	"011 V.. 1"
233	"Mces. & Wels."	"Mees. & Wels."	"M & W"	confusion	via-variant	"0 Mces. & Wels. 109"
232	"L. J. CIh."	"L. J. Clh."	"L.J.Ch."	confusion	via-variant	"009 L. J. CIh. 150"
230	"P. Wrns."	"P. Wms."	"P Wms"	confusion	via-variant	"1 P. Wrns. 1"
230	"Vcs. Sr."	"Ves. Sr."	"Ves Sen"	confusion	via-variant	"1 Vcs. Sr. 01"
228	"AIn."	"Aln."	"Ala."	confusion	via-variant	"00 AIn. 373"
228	"Scrg. & R. (Pa.)"	"Serg. & R. (Pa.)"	"Serg. & Rawl."	confusion	via-variant	"0 Scrg. & R. (Pa.) 296"
228	"Se. N. R."	"Sc. N. R."	"Scott N. R."	confusion	via-variant	"0 Se. N. R. 808"
227	"T. Il."	"T. It."	"TR"	confusion	via-variant	"0 T. Il. 050"
227	"V. N. C."	"W. N. C."	"W.N.C."	confusion	via-variant	"0 V. N. C. 489"
226	"Alcyn"	"Aleyn"	"Al"	confusion	via-variant	"151 Alcyn, 50"
226	"lll."	"Ill."	"Ill."	confusion	canonical	"04 lll. 528"
225	"L. J. CI."	"L. J. Cl."	"L.J.Ch."	confusion	via-variant	"06 L. J. CI. 297"
225	"Vcs"	"Ves"	"Ves Jun"	confusion	via-variant	"0 Vcs 478"
223	"Vl."	"Vt."	"Vt."	confusion	canonical	"00 Vl. 932"
222	"I. & G."	"I. & C."	"B & C"	confusion	via-variant	"0 I. & G. 205"
221	"Binncy"	"Binney"	"Binn."	confusion	via-variant	"0 Binncy, 202"
221	"Gi."	"Ci."	"L.R.Ch."	confusion	via-variant	"00 Gi. 23"
221	"lii."	"Iii."	"Ill."	confusion	via-variant	"0 lii. 1"
220	"itl."	"ill."	"Ill."	confusion	via-variant	"00 itl. 155"
220	"lli"	"Ili"	"Ill."	confusion	via-variant	"011 lli 1"
219	"lill (N. Y.)"	"Iill (N. Y.)"	"Hill (N.Y.)"	confusion	via-variant	"0 lill (N. Y.), 2"
216	"Johnsou"	"Johnson"	"Johns."	confusion	via-variant	"0 Johnsou 1"
216	"Vcs.jun."	"Ves.jun."	"Ves Jun"	confusion	via-variant	"10 Vcs.jun. 246"
216	"Whcaton"	"Wheaton"	"Wheat."	confusion	via-variant	"0 Whcaton, 102"
214	"L. .. Cli."	"L. .. Ch."	"L.J.Ch."	confusion	via-variant	"01 L. .. Cli. 273"
214	"llich."	"Ilich."	"Mich."	confusion	via-variant	"05 llich. 317"
212	"lcav."	"leav."	"Beav"	confusion	via-variant	"10 lcav. 1"
211	"N. V"	"N. W"	"N.W."	confusion	via-variant	"011 N. V 7"
210	"Ircd."	"Ired."	"Ired."	confusion	canonical	"0 Ircd. 286"
210	"PIick."	"Plick."	"Pick."	confusion	via-variant	"10 PIick. 205"
208	"CIh. D."	"Clh. D."	"L.R.Ch."	confusion	via-variant	"0 CIh. D. 2"
208	"Mccs. & W."	"Mces. & W."	"M & W"	confusion	via-variant	"0 Mccs. & W. 100"
207	"P. V."	"P. W."	"P Wms"	confusion	via-variant	"10 P. V. 158"
207	"We."	"Ve."	"Ves Sen"	confusion	via-variant	"0 We. 68"
206	"M. & Se."	"M. & Sc."	"M & S"	confusion	via-variant	"1 M. & Se. 1"
203	"Ctl."	"Cll."	"Chan Cas"	confusion	via-variant	"0 Ctl. 119"
203	"Hul"	"Hut"	"Hut"	confusion	canonical	"04 Hul,\n\t\t\t627"
202	"B. Monroc"	"B. Monroe"	"B. Mon"	confusion	via-variant	"10 B. Monroc, 2"
201	"Huu"	"Hun"	"Hun"	confusion	canonical	"00 Huu, 516"
201	"I)all."	"l)all."	"Dall."	confusion	via-variant	"1 I)all. 0"
201	"Mecs. & Wels."	"Mees. & Wels."	"M & W"	confusion	via-variant	"0 Mecs. & Wels. 499"
199	"Deuio"	"Denio"	"Denio"	confusion	canonical	"14 Deuio, 153"
199	"Ves. & Bca."	"Ves. & Bea."	"Ves & Bea"	confusion	via-variant	"14 Ves. & Bca. 117"
198	"CI. D."	"Cl. D."	"L.R.Ch."	confusion	via-variant	"10 CI. D. 1"
198	"Se. Sess. Cas."	"Sc. Sess. Cas."	"Sess Cas"	confusion	via-variant	"10 Se. Sess. Cas. 3"
197	"Amn. Dee."	"Amn. Dec."	"Am. Dec."	confusion	via-variant	"00 Amn. Dee. 701"
197	"Bingli."	"Bingh."	"Bing"	confusion	via-variant	"0 Bingli. 610"
196	"Eng. Ee."	"Eng. Ec."	"L.R.A.E."	confusion	via-variant	"0 Eng. Ee. 264"
195	"Forrcst"	"Forrest"	"Forr"	confusion	via-variant	"10 Forrcst, 3"
195	"Mctcalf"	"Metcalf"	"Met."	confusion	via-variant	"00 Mctcalf, 2"
194	"Allcn"	"Allen"	"Allen"	confusion	canonical	"0 Allcn,\n\t\t\t2"
194	"Tenu."	"Tenn."	"Tenn."	confusion	canonical	"00 Tenu. 171"
193	"Int. Rev. Ree."	"Int. Rev. Rec."	"Int. Rev. Rec."	confusion	canonical	"10 Int. Rev. Ree. 1017"
193	"Vca."	"Vea."	"Ves Jun"	confusion	via-variant	"10 Vca. 1"
193	"Youngc"	"Younge"	"You"	confusion	via-variant	"1 Youngc, 1"
192	"V. I."	"W. I."	"W.R."	confusion	via-variant	"10 V. I. 1"
192	"Vcs. & Bea."	"Ves. & Bea."	"Ves & Bea"	confusion	via-variant	"1 Vcs. & Bea. 1"
191	"Ic."	"Ie."	"Me."	confusion	via-variant	"07 Ic. 490"
190	"Maeph."	"Macph."	"Macph."	confusion	canonical	"0 Maeph. 233"
190	"Maule & Sclw."	"Maule & Selw."	"M & S"	confusion	via-variant	"1 Maule & Sclw. 1"
190	"ln."	"In."	"Ill."	confusion	via-variant	"024 ln. 1"
189	"C. &J."	"G. &J."	"G. & J."	confusion	via-variant	"1 C. &J. 1"
189	"Hilt"	"Hill"	"Hill"	confusion	canonical	"066 Hilt, 1027"
189	"Pcters"	"Peters"	"Pet."	confusion	via-variant	"0 Pcters, 148"
188	"Anm. Dee."	"Anm. Dec."	"Am. Dec."	confusion	via-variant	"00 Anm. Dee. 595"
188	"L. J. ChI."	"L. J. Chl."	"L.J.Ch."	confusion	via-variant	"05 L. J. ChI. 120"
